pitch_mean,pitch_std,spectral_centroid,spectral_bandwidth,rms_energy,energy_mean,energy_std,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,emotion
0.3727122486888112,0.267765638078774,3470.937689269014,2628.243580630619,0.002256089,0.001662311,0.003636641,-697.7926,54.89004,0.66346556,12.435786,7.7339516,0.5307504,-3.216631,-3.1593943,-10.977551,-2.848711,0.8152975,-3.037067,1.9554467,neutral
0.3805508083767361,0.2711372305594798,3264.8353497149083,2675.8361201645694,0.0024186159,0.0017693224,0.003897282,-692.8558,55.3639,-1.5483195,16.038305,8.81881,-0.14658634,-1.3733917,-5.2931795,-11.623183,-1.3482838,0.8437146,-2.6412783,1.0172498,neutral
0.39912317154255317,0.28704852467672265,3233.896122555188,2633.3460441204893,0.002809294,0.0021304642,0.004607556,-691.5879,58.024662,0.15946457,13.62465,5.374112,1.1623361,-2.0833592,-5.3825855,-10.332824,-3.6620803,0.5606007,-2.8382254,1.8347855,neutral
0.39692988708941607,0.27752383826311594,3114.6553065723137,2675.4023069690534,0.0026172653,0.0019878661,0.004451675,-685.10547,55.87942,2.7832623,13.252023,6.989668,2.9812741,-1.5860289,-6.961661,-10.348489,-3.2707684,1.1761657,-1.4986559,0.5515502,neutral
0.3569846558415033,0.27607235281551673,3226.498012284478,2629.6985354764156,0.0016532314,0.0012635897,0.0026702352,-727.1044,62.355034,3.121181,15.064671,8.132434,1.927084,-3.2746563,-3.7617917,-9.7502985,-4.8538365,0.99631536,-3.1160698,0.5463206,calm
0.3222969250801282,0.2706385614471101,3167.7904208153186,2569.8323468228537,0.001752111,0.0013344616,0.0027785427,-707.3582,66.73646,2.2534885,11.169916,9.74208,1.0580915,-4.4261856,-4.6836147,-8.313273,-4.813667,1.7525572,-2.376542,-0.20691964,calm
0.3653928238824503,0.28498254645256005,3240.7360101619192,2520.1618002547093,0.0026211368,0.002055867,0.003760233,-697.16614,65.1082,0.93036777,13.633627,5.959596,2.89507,-1.3418186,-4.7757535,-8.671516,-4.5529985,1.9706047,-1.6276461,1.4267263,calm
0.3942513020833333,0.307607666367756,3093.2787661177517,2561.4496278041206,0.002669931,0.0020920355,0.0039915335,-698.6377,68.698586,1.1003666,13.685944,8.338752,2.0671213,-0.6167906,-5.732325,-7.8613234,-4.4119186,1.0114723,-1.7058651,1.5934341,calm
0.3,0.25301849809126215,3168.72899630288,2571.0891887786515,0.0015008143,0.0011744971,0.002106569,-734.1256,70.53291,4.22518,13.866501,9.276525,1.8420302,-3.7091064,-2.8845077,-6.3325033,-4.4839153,2.0064912,-0.029675245,-0.17859077,calm
0.3299144237716763,0.27789410686005556,3137.063224833596,2513.663198950632,0.0016126233,0.0012290393,0.0023333137,-697.8223,67.33959,-0.44955143,11.884349,6.899115,0.57238895,-4.5503764,-6.025094,-7.934866,-4.8724413,2.6747522,-1.4644696,-1.1086313,calm
0.33750965831043955,0.2952975281231883,3113.155414246312,2478.729060022052,0.0020959415,0.0016511073,0.0026100036,-704.5413,68.82944,4.728955,11.950601,5.6388826,5.8340945,-4.8624907,-4.862799,-8.308453,-4.8761907,2.3179219,1.2227513,0.5954949,calm
0.3301910223988439,0.2702688207975,3214.0083482397918,2465.4830338352585,0.0021334921,0.001677038,0.0029628437,-690.9957,65.29337,-3.5145001,14.551637,6.737837,2.9514787,-4.3670077,-8.268065,-9.742737,-3.7135794,3.773647,-0.95878893,-0.26622173,calm
0.401142578125,0.3100545676719416,3067.91168791532,2581.1256237867833,0.0042630234,0.0031862252,0.0064224475,-645.95465,63.1167,-4.388944,12.588353,4.241157,-2.9022617,-5.671873,-6.6233635,-11.532384,-2.3804145,-1.2910128,-6.802653,1.1827936,happy
0.33329427083333335,0.2882876025852219,2897.8822941203643,2486.1537244856377,0.004905267,0.0036471346,0.0074756593,-631.407,62.999477,-5.8192096,15.460055,6.526638,-1.5888869,-6.5974174,-4.806329,-13.677246,-1.3645011,0.1333666,-6.3668647,3.405448,happy
0.36240042892156865,0.27620540062475657,3162.438944595728,2522.104812542783,0.0037491552,0.0029278453,0.0056965216,-656.2289,62.20653,-2.3432076,12.91607,1.8241282,-0.17071341,-5.6699905,-7.286775,-13.776977,-3.3122015,2.3617582,-7.0014296,1.9307775,happy
0.396258544921875,0.30470337404567893,3184.692765962536,2526.3256888357882,0.0037530952,0.0029709968,0.0051948517,-652.70056,57.02253,0.41844025,18.289316,2.6309881,0.41835552,-2.5292726,-6.284705,-13.434198,-3.6181443,0.6169872,-4.589428,2.5763223,happy
